Movie_name,Top_genres,Release_Date,tconst,capped_profit,Successful,role_1,role_2,role_3,role_4,role_1_birth_year,role_2_birth_year,role_3_birth_year,role_4_birth_year,role_1_roles_count,role_2_roles_count,role_3_roles_count,role_4_roles_count,role_1_sex,role_2_sex,role_3_sex,role_4_sex
Call Me Bwana,Action/Adventure,1963,tt0056897,0.0,4.3,nm0001362,nm0001179,nm0010944,nm0420383,1903,1931,1927,1926,66.0,42.0,39.0,41.0,M,F,F,M
Ladybugs,Other,1992,tt0104670,11609286.614221303,4.5,nm0001098,nm0364068,nm0000970,nm0333778,1921,1956,1976,1949,18.0,301.0,84.0,125.0,M,F,M,F
Flood,Action/Adventure,2007,tt0790665,0.0,4.2,nm0001015,nm0319698,nm0183822,nm0000695,1961,1971,1937,1961,115.0,164.0,46.0,117.0,M,F,M,F
Songcatcher,Other,2000,tt0210299,4194346.224814169,4.8,nm0005216,nm0362268,nm8293427,nm0329517,1961,\N,\N,\N,48.0,4.0,1.0,16.0,F,M,M,M
O Costa do Castelo,Other,1943,tt0035759,0.0,4.8,nm0798219,nm0559242,nm0590771,nm0722836,1886,1886,1926,1919,21.0,5.0,9.0,18.0,M,F,F,M
Kasam Paida Karne Wale Ki,Action/Adventure,1984,tt0362798,0.0,4.4,nm0149822,nm0665599,nm0013028,nm0700869,1950,1955,\N,1932,198.0,40.0,19.0,74.0,M,F,F,M
Felix the Cat: The Movie,Other,1988,tt0259308,-14084553.09209922,3.9,nm0680303,nm0993430,nm2562106,nm0687029,1958,\N,\N,1947,52.0,3.0,2.0,30.0,M,F,M,F
Offset,Other,2006,tt0448239,0.0,4.4,nm0487884,nm1625525,nm0890495,nm0953220,1978,1978,1954,1942,63.0,52.0,17.0,71.0,F,M,M,M
So Big,Drama,1953,tt0046333,11609286.614221303,4.8,nm0943837,nm0001330,nm0647970,nm0002079,1917,1916,1928,1925,298.0,59.0,20.0,119.0,F,M,F,M
Gold Diggers in Paris,Other,1938,tt0030191,0.0,4.4,nm0884964,nm0485537,nm0001890,nm0420765,1901,1913,1884,1900,30.0,12.0,57.0,89.0,M,F,M,M
Cadillac Man,Drama,1990,tt0099204,11609286.614221303,4.6,nm0000245,nm0000209,nm0715622,nm0000376,1951,1958,1949,1957,204.0,67.0,59.0,235.0,M,M,F,F
Valiant,Other,2005,tt0361089,11609286.614221303,4.5,nm0000191,nm0315041,nm0000347,nm0000980,1971,1961,1946,1949,116.0,112.0,363.0,183.0,M,M,M,M
Where There's Life,Other,1947,tt0039982,0.0,4.6,nm0001362,nm0368516,nm0000904,nm0183459,1903,1915,1906,1903,66.0,49.0,162.0,40.0,M,F,M,M
A Song Is Born,Other,1948,tt0040820,-23632587.86828423,4.2,nm0001414,nm0562920,nm0329015,nm0234186,1911,1920,1909,1905,23.0,44.0,5.0,4.0,M,F,M,M
Endrendrum Kadhal,Drama,1999,tt6829596,0.0,4.7,nm0897201,nm1807524,nm0080228,nm1706602,1974,\N,1967,1960,61.0,503.0,172.0,32.0,M,F,F,M
And the Angels Sing,Other,1944,tt0036600,0.0,4.5,nm0483787,nm0534045,nm0002149,nm0528658,1914,1908,1921,1926,43.0,245.0,34.0,39.0,F,M,F,F
Wasabi,Drama,2001,tt0281364,-6596221.882417168,4.5,nm0000606,nm0386414,nm0612204,nm0000962,1948,1980,1966,1957,95.0,75.0,20.0,80.0,M,F,M,F
Sydney: A Story of a City,Drama,1999,tt0211014,0.0,4.2,nm0058124,nm0068364,nm0314398,nm0580527,\N,1968,\N,1963,25.0,82.0,1.0,13.0,M,F,M,M
Pathram,Drama,1999,tt0255466,0.0,4.7,nm0329730,nm0913097,nm0889941,nm0613512,1958,1979,\N,1954,130.0,36.0,10.0,51.0,M,F,M,M
Whore,Other,1991,tt0103253,0.0,4.4,nm0000622,nm0610161,nm0267279,nm0603470,1957,1965,1946,\N,63.0,6.0,123.0,16.0,F,M,M,F
The Night of the Shooting Stars,Drama,1982,tt0084422,0.0,4.7,nm0031511,nm0523597,nm0081702,nm0094351,1935,1931,1955,1951,56.0,16.0,32.0,116.0,M,F,M,M
Fallen Art,Other,2004,tt0440846,0.0,4.8,nm1458971,nm1572778,nm0865069,,1969,1963,1972,,69.0,3.0,18.0,,M,M,M,
Nuummioq,Drama,2009,tt1235162,0.0,4.4,nm3129789,nm3128791,nm1313709,nm4412056,1972,\N,1979,\N,1.0,11.0,2.0,1.0,M,M,F,M
The Only Son,Drama,1936,tt0027752,0.0,4.8,nm0407329,nm0385443,nm0370574,nm0875208,1897,1907,1925,1915,53.0,47.0,8.0,18.0,F,M,M,F
Jackie,Drama,2012,tt2108546,0.0,4.6,nm0396924,nm0887206,nm0000456,nm2456350,1976,1978,1958,\N,48.0,51.0,116.0,2.0,F,F,F,M
Night Train to Terror,Other,1985,tt0087798,0.0,4.1,nm0943726,nm0778615,nm0529166,nm0534823,\N,\N,\N,\N,1.0,1.0,1.0,1.0,F,M,F,F
Cars 2,Other,2011,tt1216475,11609286.614221303,4.7,nm0005562,nm1249256,nm0000323,nm0607865,1968,1963,1933,1971,66.0,56.0,118.0,89.0,M,M,M,F
The Seventh Victim,Horror,1943,tt0036341,0.0,4.6,nm0001375,nm0007218,nm0112046,nm0422436,1922,1904,1915,1907,66.0,96.0,12.0,23.0,F,M,F,F
Mohabbat,Drama,1997,tt0217660,0.0,4.2,nm0002043,nm0438503,nm0451379,nm0787582,1967,1965,1975,1948,68.0,122.0,36.0,51.0,F,M,M,M
Prehistoric Women,Other,1950,tt0042855,0.0,3.8,nm0525154,nm0633205,nm0790064,nm0484924,1928,1915,1926,\N,4.0,6.0,16.0,1.0,F,M,F,F
Super Mario Bros.,Drama,1993,tt0108255,-44385732.85387366,3.3,nm0001364,nm0000491,nm0000454,nm0000526,1942,1960,1936,1970,109.0,121.0,170.0,49.0,M,M,M,F
"Follow Me, Boys!",Other,1966,tt0060420,11609286.614221303,4.9,nm0534045,nm0587256,nm0001273,nm0749476,1908,1929,1893,1886,245.0,98.0,41.0,408.0,M,F,F,M
White as Snow,Other,2010,tt1454907,-9336756.162230868,4.2,nm0167388,nm0332709,nm0951520,nm0099521,1955,1963,1970,1965,76.0,84.0,89.0,35.0,M,M,M,M
The Last Mistress,Drama,2007,tt0437526,-5330238.661080363,4.4,nm0000782,nm2227118,nm0581953,nm1167450,1975,1980,\N,1927,55.0,2.0,52.0,1.0,F,M,F,F
Bug Me Not!,Drama,2005,tt0470263,0.0,4.2,nm1884816,nm1250939,nm1501263,nm1507680,1988,1983,1980,1984,7.0,69.0,24.0,10.0,F,M,M,M
Outside Providence,Other,1999,tt0125971,429943.86079743854,4.5,nm0004999,nm0005442,nm0000285,nm0094231,1975,1976,1958,\N,149.0,49.0,231.0,1.0,M,F,M,M
Gloria,Drama,1980,tt0080798,0.0,4.7,nm0001687,nm0377750,nm0138388,nm0460705,1930,1930,\N,\N,72.0,17.0,30.0,1.0,F,M,F,M
REC,Horror,2007,tt1038988,11609286.614221303,5.0,nm0892299,nm0970337,nm1970851,nm0744485,1975,\N,\N,\N,137.0,282.0,5.0,1.0,F,M,M,M
Someone Like You,Other,2001,tt0244970,-30750744.540662643,3.9,nm0000171,nm0001427,nm0413168,nm0000673,1968,1963,1968,1964,49.0,85.0,66.0,74.0,F,M,M,F
Things Change,Drama,1988,tt0096259,0.0,4.7,nm0000747,nm0001505,nm0698764,nm0426666,1908,1947,1930,1933,66.0,413.0,74.0,4.0,M,M,M,M
Back Street,Drama,1932,tt0022651,0.0,4.7,nm0002050,nm0092900,nm0576120,nm0686032,1898,1895,1904,1894,45.0,48.0,14.0,146.0,F,M,M,F
Angel on the Right,Drama,2002,tt0317476,0.0,4.6,nm1190364,nm1190753,nm1191283,nm0474455,\N,\N,1993,\N,1.0,3.0,16.0,1.0,F,M,M,M
Rave,Other,2000,tt0156942,0.0,4.3,nm0816669,nm0333888,nm0005497,nm0002364,\N,\N,\N,1975,19.0,11.0,52.0,206.0,M,F,F,M
The Shape of Things,Drama,2003,tt0308878,947148.8549617212,4.6,nm0748620,nm0001838,nm0001543,nm0919867,1969,1970,1972,1966,88.0,54.0,53.0,88.0,M,F,F,M
La France,Other,2007,tt0877621,0.0,4.5,nm0856500,nm0339621,nm0893830,nm0639054,1971,1954,\N,1966,98.0,52.0,14.0,24.0,F,M,M,M
Dr. No,Action/Adventure,1962,tt0055928,11609286.614221303,4.9,nm0000125,nm0000266,nm0496866,nm0936476,1930,1936,1908,1918,71.0,35.0,55.0,40.0,M,F,M,M
Three Men and a Cradle,Other,1985,tt0090206,0.0,4.6,nm0320801,nm0099378,nm0244707,nm0503800,1942,1952,1946,1963,48.0,28.0,178.0,78.0,M,M,M,F
Duet for One,Drama,1986,tt0092934,0.0,4.6,nm0000267,nm0000869,nm0001884,nm0000391,1935,1934,1929,1959,56.0,77.0,102.0,78.0,F,M,M,M
Scared Stiff,Other,1953,tt0046280,11609286.614221303,4.7,nm0001509,nm0001471,nm0779507,nm0000544,1917,1926,1922,1909,52.0,50.0,25.0,17.0,M,M,F,F
From Russia with Love,Drama,1963,tt0057076,11609286.614221303,4.9,nm0000125,nm0001727,nm0502322,nm0000938,1930,1927,1898,1942,71.0,71.0,8.0,13.0,M,M,F,F
69,Drama,2004,tt0408470,5704654.365287214,4.7,nm1070494,nm0027942,nm1279870,nm0594655,1980,1975,1985,1983,48.0,47.0,17.0,75.0,M,M,M,F
A Thousand and One Nights,Other,1945,tt0038165,0.0,4.5,nm0450810,nm0799014,nm0421922,nm0664273,1916,1911,1917,1912,31.0,167.0,34.0,47.0,F,M,F,M
Ragini MMS,Drama,2011,tt1890513,0.0,4.2,nm3217731,nm3822770,nm4729449,nm4522692,1986,1984,\N,\N,2.0,66.0,5.0,1.0,F,M,M,F
The Coachman,Other,1961,tt0232019,0.0,4.6,nm0453667,nm1066548,nm1065533,nm1076931,1918,1928,\N,\N,138.0,222.0,110.0,76.0,M,M,F,F
En Route,Other,2004,tt0404532,0.0,4.4,nm0480016,nm0659959,nm1063335,nm1397348,1972,1976,1983,1995,4.0,88.0,10.0,6.0,F,M,M,F
October 22,Drama,1998,tt0165409,0.0,4.5,nm0095478,nm0001595,nm0001368,nm0001625,1955,1958,1945,1957,148.0,194.0,169.0,47.0,M,M,M,F
Gandeevam,Action/Adventure,1994,tt0255190,0.0,4.5,nm0049395,nm0004463,nm0737730,nm0103977,1960,1923,1972,1956,87.0,152.0,42.0,525.0,M,M,F,M
Guru,Drama,1997,tt0133826,0.0,5.0,nm0482320,nm0329730,nm1004639,nm0442641,1960,1958,\N,\N,267.0,130.0,12.0,576.0,M,M,M,F
The Tuner,Other,2004,tt0383020,0.0,4.8,nm0217239,nm0218475,nm0514852,nm0750850,1960,1936,1967,1945,225.0,24.0,21.0,69.0,M,F,F,F
"Goodbye, New York",Other,1985,tt0089217,0.0,4.1,nm0353546,nm0464180,nm0793505,nm0304760,1955,1947,1929,1951,34.0,4.0,5.0,8.0,F,M,M,F
Naiyya,Other,1979,tt0246801,0.0,4.7,nm1090228,nm0906226,nm0592789,nm0455454,\N,1959,1908,1940,4.0,48.0,21.0,23.0,M,F,F,M
Jagged Edge,Drama,1985,tt0089360,11609286.614221303,4.8,nm0000313,nm0000335,nm0001075,nm0005162,1949,1947,1941,1930,91.0,166.0,291.0,161.0,M,F,M,M
Taxandria,Other,1994,tt0117865,0.0,4.5,nm0000090,nm0818642,nm0836091,nm0441594,1930,1973,1973,\N,102.0,2.0,40.0,1.0,M,M,F,M
Half Ticket,Other,1962,tt0056052,0.0,4.7,nm0474822,nm0534870,nm0695199,nm0787889,1929,1933,1920,1929,43.0,38.0,118.0,14.0,M,F,M,F
Trees Lounge,Drama,1996,tt0117958,-1962110.402720221,4.6,nm0000114,nm0001406,nm0095478,nm0240103,1957,1952,1955,1920,136.0,127.0,148.0,1.0,M,F,M,M
Purple Storm,Drama,1999,tt0226693,0.0,4.5,nm0943079,nm0304065,nm0154235,nm0387319,1974,1954,1960,1974,78.0,5.0,8.0,24.0,M,M,M,F
The Uninvited,Drama,2008,tt0942904,0.0,4.0,nm0603413,nm1589004,nm0370478,nm0779072,1977,\N,1953,1973,35.0,26.0,2.0,4.0,F,F,M,F
Last Days,Other,2005,tt0403217,2977758.9258101135,4.4,nm0685856,nm0001305,nm0000782,nm0338323,1981,1976,1975,\N,47.0,72.0,55.0,3.0,M,M,F,M
The Orator,Other,2011,tt1846783,0.0,4.6,nm4335877,nm4336662,nm4789830,nm4789792,\N,\N,\N,\N,1.0,1.0,1.0,1.0,M,F,F,M
Chor Machaaye Shor,Other,2002,tt0331216,0.0,4.1,nm0219967,nm0792908,nm0060607,nm0712546,1969,1975,1979,1955,58.0,46.0,60.0,106.0,M,F,F,M
A Canção da Primavera,Drama,1923,tt0336129,0.0,4.4,nm2266695,nm2028539,nm2219683,nm2024467,\N,\N,\N,\N,1.0,1.0,1.0,1.0,M,M,F,F
Column South,Other,1953,tt0045637,9728883.561643835,4.7,nm0001559,nm0262896,nm0827577,nm0172615,1924,1934,1917,1889,67.0,24.0,109.0,90.0,M,F,M,M
Cosmopolis,Other,2012,tt1480656,-14885535.568522248,4.0,nm1500155,nm0000300,nm0300589,nm0023832,1986,1964,1987,1965,33.0,77.0,124.0,106.0,M,F,F,M
The Story of Ruth,Drama,1960,tt0054343,0.0,4.6,nm0926183,nm0874502,nm0939931,nm0511798,1928,1926,1892,1920,108.0,35.0,70.0,82.0,M,M,F,F
Aayitha Ezhuthu,Drama,2004,tt0375571,0.0,4.9,nm1421814,nm0534856,nm1413459,nm1307939,1975,1970,1979,1982,44.0,207.0,48.0,45.0,M,M,M,F
Lucinda's Spell,Other,1998,tt0165866,0.0,4.2,nm0414481,nm0298489,nm0079496,nm0378586,1966,1967,\N,1955,25.0,6.0,8.0,18.0,M,F,F,M
Kaajal,Other,1965,tt0139398,0.0,4.6,nm0474932,nm0004429,nm0655803,nm0474855,1932,1935,1932,1926,55.0,187.0,48.0,41.0,F,M,F,M
Hello Hemingway,Drama,1990,tt0102025,0.0,4.6,nm0209429,nm0668588,nm0844954,nm0379528,1970,\N,1923,\N,16.0,1.0,4.0,1.0,F,M,F,F
National Treasure,Drama,2004,tt0368891,11609286.614221303,4.8,nm0000115,nm1208167,nm0058581,nm0000293,1964,1976,1978,1959,105.0,82.0,49.0,195.0,M,F,M,M
A Man and a Woman,Drama,1966,tt0061138,11609286.614221303,6.1,nm0000733,nm0004462,nm0056435,nm0481412,1932,1930,1934,1942,61.0,122.0,5.0,21.0,F,M,M,F
"Rich, Young and Pretty",Other,1951,tt0043968,11609286.614221303,4.6,nm0007225,nm0201638,nm0179819,nm0198954,1929,1917,1914,1928,30.0,114.0,93.0,6.0,F,F,M,M
I Still Know What You Did Last Summer,Horror,1998,tt0130018,11609286.614221303,4.4,nm0001349,nm0005327,nm0005275,nm0001616,1979,1976,1979,1974,279.0,116.0,196.0,204.0,F,M,F,M
Summer Wars,Other,2009,tt1474276,11609286.614221303,5.0,nm1126340,nm3142576,nm1932274,nm3893990,1993,1992,1990,\N,133.0,34.0,42.0,2.0,M,F,F,M
Suryavamsam,Other,1997,tt6551244,0.0,4.8,nm0764877,nm0222266,nm0704654,nm4952313,1954,1974,1963,\N,70.0,2263.0,1103.0,3.0,M,F,F,F
Junk Mail,Drama,1997,tt0118785,0.0,4.6,nm0804418,nm0845301,nm0039398,nm0513064,1966,1964,1954,1944,38.0,19.0,19.0,10.0,M,F,M,F
Alice in Wonderland,Other,1931,tt0021599,0.0,4.1,nm0318226,nm0381096,nm0033956,nm0942610,1912,1890,\N,1880,12.0,2.0,1.0,5.0,F,M,F,F
Victor/Victoria,Other,1982,tt0084865,11609286.614221303,6.2,nm0000267,nm0001258,nm0696481,nm0000690,1935,1928,1918,1946,56.0,282.0,67.0,100.0,F,M,M,F
Pack Up Your Troubles,Other,1932,tt0023312,0.0,4.7,nm0491048,nm0001316,nm0226858,nm2028596,1890,1892,1903,1928,127.0,253.0,12.0,1.0,M,M,M,F
His Royal Highness,Other,1932,tt0023011,0.0,4.4,nm0908651,nm0908344,nm0850637,nm0912368,1895,1898,\N,1911,4.0,1.0,1.0,2.0,M,F,M,F
Thalapathi,Drama,1991,tt0101649,0.0,5.0,nm0707425,nm0007123,nm0811794,nm0841552,1950,1951,1966,1970,103.0,264.0,65.0,30.0,M,M,F,M
The Legend of the 7 Golden Vampires,Action/Adventure,1974,tt0070297,0.0,4.4,nm0001088,nm0156955,nm0250774,nm0151169,1913,1947,1943,\N,91.0,63.0,9.0,1.0,M,M,F,M
Umrao Jaan,Other,1981,tt0083248,0.0,4.8,nm0004334,nm0787582,nm0787462,nm0044796,1954,1948,1950,1952,105.0,51.0,179.0,105.0,F,M,M,M
The Terminal Man,Drama,1974,tt0072267,0.0,4.4,nm0001719,nm0352466,nm0246004,nm0595567,1934,1934,1929,1930,245.0,33.0,35.0,46.0,M,F,M,M
Megasandesam,Drama,2001,tt0319841,0.0,4.2,nm0329730,nm0890062,nm0619772,nm0621066,1958,1979,1977,1963,130.0,8.0,119.0,18.0,M,F,F,M
The Wackness,Drama,2008,tt1082886,-6597308.43812775,4.5,nm0669681,nm0001426,nm1880888,nm0000463,1986,1943,1986,1964,117.0,149.0,44.0,84.0,M,M,F,F
Me and My Pal,Other,1933,tt0024316,0.0,4.7,nm0491048,nm0001316,nm0278006,nm0054205,1890,1892,1887,1910,127.0,253.0,69.0,1.0,M,M,M,F
Postcards from the Edge,Drama,1990,tt0100395,11609286.614221303,4.8,nm0000658,nm0000511,nm0000598,nm0000432,1949,1934,1954,1930,99.0,75.0,138.0,77.0,F,F,M,M
"Milice, film noir",Other,1997,tt0139464,0.0,4.9,,,nm0099677,,,,1925,,,,107.0,,,,M,
Kismet,Other,1955,tt0048260,11052108.621226266,4.7,nm0444476,nm0001955,nm0336576,nm0198954,1919,1928,1924,1928,48.0,41.0,6.0,6.0,M,F,F,M
Frances,Drama,1982,tt0083967,11609286.614221303,4.9,nm0001448,nm0052186,nm0058783,nm0110385,1949,1947,1929,1932,53.0,255.0,69.0,5.0,F,M,F,M
Great Catherine,Other,1968,tt0063034,0.0,4.3,nm0000564,nm0609216,nm0603402,nm0370144,1932,1915,1928,1910,75.0,25.0,112.0,65.0,M,M,F,M
Bhramaram,Drama,2009,tt1459027,0.0,4.7,nm0482320,nm1485941,nm0154653,nm0803182,1960,\N,1978,\N,267.0,208.0,55.0,20.0,M,M,F,F
Ninaithale Inikkum,Drama,1979,tt0154145,0.0,4.6,nm0352032,nm0419685,nm0707425,nm0419707,1954,1962,1950,1958,121.0,130.0,103.0,151.0,M,F,M,F
In the Sweet Pie and Pie,Other,1941,tt0033755,0.0,4.9,nm0002935,nm0004310,nm0397219,nm0032356,1897,1902,1903,1906,264.0,259.0,48.0,15.0,M,M,M,F
Venom,Drama,2005,tt0428251,1068908.7961109453,4.2,nm0115671,nm0005044,nm0328709,nm0005313,1985,1982,1981,1980,45.0,24.0,102.0,14.0,F,M,F,F
Passport to Destiny,Other,1944,tt0037167,0.0,4.5,nm0006471,nm0646849,nm0041304,nm0747309,1902,1910,1918,1891,64.0,19.0,14.0,5.0,F,M,F,M
The Great K & A Train Robbery,Other,1926,tt0016939,0.0,4.5,nm0594291,nm0245386,nm1209936,nm0909228,1880,1906,1910,1872,98.0,18.0,7.0,6.0,M,F,M,M
Johann Mouse,Other,1953,tt0045937,0.0,4.7,nm0175788,,,,1917,,,,237.0,,,,M,,,
Africa Screams,Other,1949,tt0041098,0.0,4.4,nm0007941,nm0182579,,,1895,1906,,,65.0,66.0,,,M,M,,
No Man of Her Own,Drama,1950,tt0041694,0.0,4.7,nm0001766,nm0526184,nm0184785,nm0857187,1907,1911,1884,1919,89.0,25.0,4.0,41.0,F,M,F,F
Autumn in New York,Drama,2000,tt0174480,11609286.614221303,4.6,nm0000152,nm0000213,nm0001439,nm0834626,1949,1971,1959,1925,70.0,87.0,248.0,68.0,M,F,M,F
The Front Page,Other,1931,tt0021890,0.0,4.6,nm0579663,nm0002285,nm0047720,nm0002143,1890,1899,1906,1886,79.0,107.0,75.0,284.0,M,M,F,M
Java Head,Drama,1934,tt0025326,0.0,4.6,nm0938923,nm0019922,nm0517058,nm0350324,1905,1910,1898,1877,26.0,32.0,66.0,67.0,F,F,M,M
Sherina's Adventure,Other,2000,tt0274716,0.0,4.8,nm0612631,nm0739287,nm1099341,nm1233704,1990,1989,1956,1973,2.0,6.0,68.0,1.0,F,M,M,F
She Had to Say Yes,Other,1933,tt0024549,0.0,4.4,nm0949835,nm0510018,nm0847939,nm0867538,1913,1899,1902,1898,226.0,10.0,107.0,182.0,F,F,M,M
Red Garters,Action/Adventure,1954,tt0047400,0.0,4.4,nm0167041,nm0007217,nm0593378,nm0189774,1928,1910,1927,1933,8.0,59.0,28.0,311.0,F,M,M,F
Man's Castle,Other,1933,tt0024302,0.0,4.7,nm0000075,nm0949835,nm0708081,nm0268225,1900,1913,1889,1904,71.0,226.0,30.0,66.0,M,F,F,F
Badmaash Company,Drama,2010,tt1602476,-2062771.710260308,4.4,nm1372788,nm3087728,nm2738962,nm1983888,1981,1988,1982,1979,60.0,20.0,51.0,36.0,M,F,M,M
Cyborg 2087,Other,1966,tt0060272,0.0,4.3,nm0719692,nm0824606,nm0179819,nm0828838,1909,1931,1914,1919,106.0,36.0,93.0,498.0,M,F,M,M
ABCD,Drama,2005,tt13491066,0.0,4.4,nm1525688,nm1524367,nm7211200,nm1421767,1976,\N,\N,\N,1368.0,4.0,6.0,20.0,M,F,F,M
Malibu Spring Break,Other,2003,tt0379363,643450.509626274,3.7,nm0706747,nm1319709,nm1671461,nm1625914,1979,1980,1981,1983,6.0,2.0,3.0,1.0,F,F,F,F
Mayabazar,Drama,1957,tt0249795,0.0,5.1,nm0004417,nm0710036,nm0767800,nm0304261,1923,1918,1937,1919,140.0,74.0,90.0,85.0,M,M,F,M
Furry Vengeance,Other,2010,tt0492389,1342658.1062084346,4.0,nm0000409,nm0000222,nm2049403,nm3082341,1968,1965,\N,\N,60.0,200.0,12.0,160.0,M,F,M,M
Chintoo,Other,2012,tt2401179,0.0,4.6,nm3815944,nm5053032,nm5051962,nm5052471,\N,\N,\N,\N,5.0,1.0,5.0,1.0,M,F,M,M
Enigma,Other,2009,tt1365598,0.0,4.2,nm2814437,nm2092801,nm2564474,nm0745849,\N,\N,\N,\N,2.0,7.0,2.0,4.0,F,M,F,M
Invincible Shaolin,Action/Adventure,1978,tt0077973,0.0,4.6,nm0523711,nm0156982,nm0838935,nm0477231,1953,1951,1955,1951,11.0,15.0,10.0,15.0,M,M,M,M
Tarzan and the Valley of Gold,Other,1966,tt0061067,0.0,4.4,nm0377947,nm0649055,nm0655693,nm0468222,1936,1918,1955,1935,5.0,41.0,45.0,21.0,M,M,M,F
Bonjour Balwyn,Other,1971,tt0167801,0.0,4.2,nm0241090,nm0192035,nm0739288,nm1336850,1949,1931,1945,\N,5.0,30.0,2.0,1.0,M,M,M,F
Cookie,Other,1989,tt0097109,0.0,4.3,nm0000393,nm0001848,nm0000503,nm0311155,1927,1946,1970,1923,138.0,72.0,12.0,9.0,M,F,F,M
Oh... Rosalinda!!,Other,1955,tt0048441,-2935.440049797696,4.4,nm0703033,nm0906932,nm0696866,nm0853481,1913,1896,1915,1924,76.0,42.0,85.0,20.0,M,M,M,F
Ang Panday,Other,1980,tt0427626,0.0,4.2,nm0688093,nm1392981,nm0023173,nm1346504,1939,1962,1929,\N,126.0,18.0,49.0,4.0,M,F,M,M
Aaina,Other,1977,tt0154178,0.0,4.5,nm0612614,nm0004435,nm0359845,nm0747131,1947,1942,1914,1931,71.0,106.0,26.0,98.0,F,M,M,F
Sleeping Sickness,Other,2011,tt1822304,0.0,4.5,nm0092592,nm1739904,nm0771739,nm0320762,1955,\N,\N,1955,147.0,15.0,23.0,105.0,M,M,F,M
Rush Hour,Drama,1998,tt0120812,11609286.614221303,4.9,nm0000329,nm0000676,nm0504962,nm0929489,1954,1971,1970,1948,94.0,7.0,52.0,82.0,M,M,M,M
Prick Up Your Ears,Drama,1987,tt0093776,0.0,4.7,nm0000198,nm0000547,nm0000603,nm0001728,1958,1953,1937,1943,97.0,205.0,221.0,73.0,M,M,F,M
Imitation General,Other,1958,tt0051767,0.0,4.6,nm0001229,nm0000999,nm0253359,nm0427894,1916,1919,1930,1931,123.0,51.0,13.0,99.0,M,M,F,M
Crescendo,Other,1970,tt0064188,0.0,4.3,nm0694619,nm0647921,nm0779540,nm0487743,\N,1930,1912,1944,212.0,42.0,32.0,58.0,F,M,F,F
My 5 Wives,Other,2000,tt0216930,0.0,4.2,nm0001098,nm0001048,nm0125956,nm0788340,1921,1957,1938,1964,18.0,33.0,102.0,110.0,M,M,M,F
Lila,Horror,1968,tt0063272,0.0,4.2,nm0829848,nm0011137,nm0104472,nm0484217,\N,\N,\N,1939,3.0,11.0,9.0,2.0,F,M,M,M
A Walk on the Moon,Drama,1999,tt0120613,-13145149.607063884,4.3,nm0000178,nm0001557,nm0096772,nm0001593,1965,1958,\N,1982,79.0,43.0,2.0,131.0,F,M,M,F
The Magnificent Seven,Action/Adventure,1960,tt0054047,-16009208.227669766,4.5,nm0000989,nm0000537,nm0000314,nm0908919,1920,1930,1921,1915,51.0,99.0,126.0,76.0,M,M,M,M
Return to Peyton Place,Other,1961,tt0055370,11609286.614221303,4.6,nm0528595,nm0001996,nm0662223,nm0000802,1942,1918,1922,1906,61.0,36.0,63.0,97.0,F,M,F,F
Heroes Two,Action/Adventure,1974,tt0070051,0.0,4.6,nm0155291,nm0297143,nm1795514,nm0025546,1945,1954,\N,1948,79.0,31.0,3.0,8.0,M,M,F,M
Adventure,Other,1925,tt0015542,0.0,4.2,nm0601962,nm0823299,nm0000891,nm0369058,1883,1901,1885,1887,67.0,20.0,156.0,113.0,M,F,M,M
Swing Ding Amigo,Other,1966,tt0061051,0.0,4.4,nm0000305,,,,1908,,,,1938.0,,,,M,,,
The Traveller,Drama,2009,tt1498709,-22069495.393956907,4.0,nm0001725,nm3334165,nm0252728,nm1505047,1932,1977,1966,\N,94.0,46.0,27.0,2.0,M,F,M,M
"The Good, the Bad and the Ugly",Action/Adventure,1966,tt0060196,11609286.614221303,5.3,nm0000142,nm0908919,nm0001812,nm0321294,1930,1915,1925,1924,266.0,76.0,73.0,24.0,M,M,M,M
"O Brother, Where Art Thou?",Action/Adventure,2000,tt0190590,11609286.614221303,5.0,nm0000123,nm0001806,nm0625789,nm0000422,1961,1957,1964,1952,174.0,72.0,56.0,517.0,M,M,M,M
Gowri,Drama,2004,tt0861774,0.0,4.3,nm1368731,nm0996625,nm0474609,nm2024091,1976,1987,1965,\N,29.0,32.0,135.0,1.0,M,F,M,M
Elles,Other,2011,tt1549589,-4209781.163055196,4.3,nm0000300,nm1326732,nm2251846,nm0209629,1964,1987,1982,1963,77.0,63.0,35.0,33.0,F,F,F,M
Cube Zero,Drama,2004,tt0377713,-1034010.4341304156,4.3,nm0072124,nm0601890,nm0730045,nm0727120,1980,1970,1962,1962,170.0,5.0,138.0,76.0,M,F,M,M
Common Wealth,Drama,2000,tt0255067,0.0,4.7,nm0560962,nm0031612,nm0039707,nm0094625,1945,\N,1925,1955,239.0,21.0,58.0,256.0,F,M,F,M
Rabat,Other,2011,tt1754392,0.0,4.7,nm1504719,nm2403095,nm3092471,nm0128801,1978,1983,1983,1988,91.0,76.0,18.0,38.0,M,M,M,F
Cargo 200,Drama,2007,tt0847880,0.0,4.7,nm2401938,nm0689894,nm0343045,nm0148516,1985,1965,1963,1964,33.0,3.0,46.0,86.0,F,M,M,M
Rhythm on the Range,Other,1936,tt0028178,0.0,4.5,nm0001078,nm0002068,nm0122589,nm0713106,1903,1913,1890,1916,80.0,17.0,15.0,29.0,M,F,M,F
