Genre,Drama,Other,Family,Fiction,Action_Adventure,Horror,total
iyi,1,0,0,0,0,0,1
bedford,1,0,0,0,0,0,1
macaroni,1,0,0,0,0,0,1
yorkalthough,1,0,0,0,0,0,1
al. 1986,1,0,0,0,0,0,1
"the ""supreme macaroni company""",1,0,0,0,0,0,1
leone,1,0,0,0,0,0,1
giuseppe,1,0,0,0,0,0,1
stansfield,1,0,0,0,0,0,1
dea&nbsp;agents,1,0,0,0,0,0,1
serviceman,1,0,0,0,0,0,1
léon,1,0,0,0,0,0,1
librarian,1,0,0,0,0,0,1
tsugumo,1,0,0,0,0,0,1
yazaki,1,0,0,0,0,0,1
the new york times,1,0,0,0,0,0,1
cigar,1,0,0,0,0,0,1
adventures,1,0,0,0,0,0,1
l.b.,1,0,0,0,0,0,1
figurine,1,0,0,0,0,0,1
praetorian,1,0,0,0,0,0,1
lucilla,1,0,0,0,0,0,1
colosseum,1,0,0,0,0,0,1
hippy,1,0,0,0,0,0,1
juba,1,0,0,0,0,0,1
runt,1,0,0,0,0,0,1
the battle of zama,1,0,0,0,0,0,1
commodus,1,0,0,0,0,0,1
fanbase,1,0,0,0,0,0,1
burnett,1,0,0,0,0,0,1
insider,1,0,0,0,0,0,1
demo,1,0,0,0,0,0,1
favela,1,0,0,0,0,0,1
zé,1,0,0,0,0,0,1
exhilirations,1,0,0,0,0,0,1
cidade,1,0,0,0,0,0,1
rob,1,0,0,0,0,0,1
chickens,1,0,0,0,0,0,1
aurelius,1,0,0,0,0,0,1
roman colosseum,1,0,0,0,0,0,1
decimus,1,0,0,0,0,0,1
li'l,1,0,0,0,0,0,1
vermelho,1,0,0,0,0,0,1
gracchus,1,0,0,0,0,0,1
the roman senate,1,0,0,0,0,0,1
tigris,1,0,0,0,0,0,1
comando,1,0,0,0,0,0,1
internship,1,0,0,0,0,0,1
vindobona,1,0,0,0,0,0,1
zucchabar,1,0,0,0,0,0,1
meridius,1,0,0,0,0,0,1
deus,1,0,0,0,0,0,1
photography,1,0,0,0,0,0,1
stiletto,1,0,0,0,0,0,1
cancellation,1,0,0,0,0,0,1
benny,1,0,0,0,0,0,1
p.s.,1,0,0,0,0,0,1
continent,1,0,0,0,0,0,1
centre,1,0,0,0,0,0,1
skynet,1,0,0,0,0,0,1
cpu,1,0,0,0,0,0,1
pan-african,1,0,0,0,0,0,1
overview,1,0,0,0,0,0,1
ancient egypt,1,0,0,0,0,0,1
alloy,1,0,0,0,0,0,1
neighbors,1,0,0,0,0,0,1
cyberdyne systems,1,0,0,0,0,0,1
dyson,1,0,0,0,0,0,1
microprocessor,1,0,0,0,0,0,1
t-800,1,0,0,0,0,0,1
telephoto,1,0,0,0,0,0,1
dear,1,0,0,0,0,0,1
hysteric,1,0,0,0,0,0,1
ancient,1,0,0,0,0,0,1
cyberdyne,1,0,0,0,0,0,1
shaggy,1,0,0,0,0,0,1
fibrosis,1,0,0,0,0,0,1
"the ""tender trio"" –",1,0,0,0,0,0,1
amy,1,0,0,0,0,0,1
imperfecta,1,0,0,0,0,0,1
terminator,1,0,0,0,0,0,1
systems,1,0,0,0,0,0,1
resistance against skynet,1,0,0,0,0,0,1
perez,1,0,0,0,0,0,1
connor,1,0,0,0,0,0,1
prototype,1,0,0,0,0,0,1
t-1000,1,0,0,0,0,0,1
nicholls,1,0,0,0,0,0,1
silberman,1,0,0,0,0,0,1
folder,1,0,0,0,0,0,1
doctors,1,0,0,0,0,0,1
osteogenesis,1,0,0,0,0,0,1
mandrake,1,0,0,0,0,0,1
turgidson,1,0,0,0,0,0,1
lauren,1,0,0,0,0,0,1
lamprecht,1,0,0,0,0,0,1
dax,1,0,0,0,0,0,1
régiment,1,0,0,0,0,0,1
scapegoat,1,0,0,0,0,0,1
farce,1,0,0,0,0,0,1
perk,1,0,0,0,0,0,1
the french general staff,1,0,0,0,0,0,1
vigo,1,0,0,0,0,0,1
spezia,1,0,0,0,0,0,1
world war i up to,1,0,0,0,0,0,1
gibraltar,1,0,0,0,0,0,1
u,1,0,0,0,0,0,1
ballast,1,0,0,0,0,0,1
la rochelle,1,0,0,0,0,0,1
hinrich,1,0,0,0,0,0,1
the strait of gibraltar &,1,0,0,0,0,0,1
df,1,0,0,0,0,0,1
commencement,1,0,0,0,0,0,1
exists,1,0,0,0,0,0,1
mireau,1,0,0,0,0,0,1
broulard,1,0,0,0,0,0,1
scouting,1,0,0,0,0,0,1
folk,1,0,0,0,0,0,1
the french army,1,0,0,0,0,0,1
undesirable,1,0,0,0,0,0,1
authenticity,1,0,0,0,0,0,1
typist,1,0,0,0,0,0,1
arnaud,1,0,0,0,0,0,1
gentlemen,1,0,0,0,0,0,1
gent,1,0,0,0,0,0,1
corporal paris,1,0,0,0,0,0,1
hussar,1,0,0,0,0,0,1
gloating,1,0,0,0,0,0,1
falsifies,1,0,0,0,0,0,1
the witness protection program,1,0,0,0,0,0,1
paulie,1,0,0,0,0,0,1
devito,1,0,0,0,0,0,1
misfortune,1,0,0,0,0,0,1
werner,1,0,0,0,0,0,1
consulate,1,0,0,0,0,0,1
schnook,1,0,0,0,0,0,1
metre,1,0,0,0,0,0,1
viewpoint,1,0,0,0,0,0,1
thomsen,1,0,0,0,0,0,1
ritterkreuz,1,0,0,0,0,0,1
eames,1,0,0,0,0,0,1
conglomerate,1,0,0,0,0,0,1
boredom,1,0,0,0,0,0,1
frenssen,1,0,0,0,0,0,1
tamaki,1,0,0,0,0,0,1
pomp,1,0,0,0,0,0,1
bailiff,1,0,0,0,0,0,1
poignant,1,0,0,0,0,0,1
sansho's,1,0,0,0,0,0,1
fischer,1,0,0,0,0,0,1
shelf,1,0,0,0,0,0,1
lucchese,1,0,0,0,0,0,1
u-96,1,0,0,0,0,0,1
johann,1,0,0,0,0,0,1
rossi,1,0,0,0,0,0,1
torpedo,1,0,0,0,0,0,1
weser,1,0,0,0,0,0,1
hf,1,0,0,0,0,0,1
copacabana,1,0,0,0,0,0,1
resupplying,1,0,0,0,0,0,1
rochelle,1,0,0,0,0,0,1
hf/df,1,0,0,0,0,0,1
hijacking,1,0,0,0,0,0,1
bootsmann,1,0,0,0,0,0,1
la spezia,1,0,0,0,0,0,1
ullmann,1,0,0,0,0,0,1
envoy,1,0,0,0,0,0,1
gambino,1,0,0,0,0,0,1
spotting,1,0,0,0,0,0,1
rousseau,1,0,0,0,0,0,1
blindfold,1,0,0,0,0,0,1
mer,1,0,0,0,0,0,1
machines,1,0,0,0,0,0,1
morpheus,1,0,0,0,0,0,1
renown,1,0,0,0,0,0,1
decrease,1,0,0,0,0,0,1
berridge,1,0,0,0,0,0,1
offstage,1,0,0,0,0,0,1
più,1,0,0,0,0,0,1
mediocrity,1,0,0,0,0,0,1
levitating,1,0,0,0,0,0,1
private arnaud,1,0,0,0,0,0,1
dozer,1,0,0,0,0,0,1
constanze,1,0,0,0,0,0,1
hieronymus,1,0,0,0,0,0,1
emp,1,0,0,0,0,0,1
zion,1,0,0,0,0,0,1
amadeus,1,0,0,0,0,0,1
salieri,1,0,0,0,0,0,1
trifle,1,0,0,0,0,0,1
requiem,1,0,0,0,0,0,1
devout,1,0,0,0,0,0,1
trinity,1,0,0,0,0,0,1
fleeing,1,0,0,0,0,0,1
dairy,1,0,0,0,0,0,1
oracle,1,0,0,0,0,0,1
life.{{cite,1,0,0,0,0,0,1
apoc,1,0,0,0,0,0,1
fredrick,1,0,0,0,0,0,1
donowitz,1,0,0,0,0,0,1
stiglitz,1,0,0,0,0,0,1
cypher,1,0,0,0,0,0,1
utivich,1,0,0,0,0,0,1
raine,1,0,0,0,0,0,1
landa,1,0,0,0,0,0,1
hacker,1,0,0,0,0,0,1
andrai,1,0,0,0,0,0,1
colloredo,1,0,0,0,0,0,1
programmer,1,0,0,0,0,0,1
vogler,1,0,0,0,0,0,1
dictate,1,0,0,0,0,0,1
kraj,1,0,0,0,0,0,1
publishing,1,0,0,0,0,0,1
national security,1,0,0,0,0,0,1
antiregime,1,0,0,0,0,0,1
laban,1,0,0,0,0,0,1
state security,1,0,0,0,0,0,1
roget,1,0,0,0,0,0,1
towns,1,0,0,0,0,0,1
east new york,1,0,0,0,0,0,1
titles,1,0,0,0,0,0,1
truancy,1,0,0,0,0,0,1
acquittal,1,0,0,0,0,0,1
morris,1,0,0,0,0,0,1
701,1,0,0,0,0,0,1
ferol,1,0,0,0,0,0,1
batts,1,0,0,0,0,0,1
jovan,1,0,0,0,0,0,1
ana,1,0,0,0,0,0,1
nebuchadnezzar,1,0,0,0,0,0,1
teodor,1,0,0,0,0,0,1
mozart,1,0,0,0,0,0,1
tribulation,1,0,0,0,0,0,1
mainframe,1,0,0,0,0,0,1
composing,1,0,0,0,0,0,1
commerce,1,0,0,0,0,0,1
shoeshine,1,0,0,0,0,0,1
janice,1,0,0,0,0,0,1
ounce,1,0,0,0,0,0,1
transcribes,1,0,0,0,0,0,1
italians,1,0,0,0,0,0,1
slobodan,1,0,0,0,0,0,1
lufthansa,1,0,0,0,0,0,1
stories,1,0,0,0,0,0,1
milošević,1,0,0,0,0,0,1
teja,1,0,0,0,0,0,1
statuette,1,0,0,0,0,0,1
proverb,1,0,0,0,0,0,1
jidai,1,0,0,0,0,0,1
keyes,1,0,0,0,0,0,1
chemist,1,0,0,0,0,0,1
intercept,1,0,0,0,0,0,1
dietrichson,1,0,0,0,0,0,1
indemnity,1,0,0,0,0,0,1
adjuster,1,0,0,0,0,0,1
statistic,1,0,0,0,0,0,1
libido,1,0,0,0,0,0,1
lola,1,0,0,0,0,0,1
forger,1,0,0,0,0,0,1
memo,1,0,0,0,0,0,1
investigator keyes,1,0,0,0,0,0,1
unfaithfulness,1,0,0,0,0,0,1
improbability,1,0,0,0,0,0,1
endorsement,1,0,0,0,0,0,1
dictation,1,0,0,0,0,0,1
haze,1,0,0,0,0,0,1
palo alto,1,0,0,0,0,0,1
crutch,1,0,0,0,0,0,1
pacific all risk,1,0,0,0,0,0,1
voltage,1,0,0,0,0,0,1
byers,1,0,0,0,0,0,1
genocide,1,0,0,0,0,0,1
irene,1,0,0,0,0,0,1
vikram,1,0,0,0,0,0,1
gomathy,1,0,0,0,0,0,1
ganja,1,0,0,0,0,0,1
chithan,1,0,0,0,0,0,1
chithan that sakthi,1,0,0,0,0,0,1
spectrum,1,0,0,0,0,0,1
autism,1,0,0,0,0,0,1
whirl,1,0,0,0,0,0,1
seller,1,0,0,0,0,0,1
mal,1,0,0,0,0,0,1
brazen,1,0,0,0,0,0,1
neff,1,0,0,0,0,0,1
dictaphone,1,0,0,0,0,0,1
cavett,1,0,0,0,0,0,1
alto,1,0,0,0,0,0,1
forrest jr.,1,0,0,0,0,0,1
dragnet,1,0,0,0,0,0,1
trejo,1,0,0,0,0,0,1
homicide,1,0,0,0,0,0,1
waingro,1,0,0,0,0,0,1
nate,1,0,0,0,0,0,1
marciano,1,0,0,0,0,0,1
gage,1,0,0,0,0,0,1
depository,1,0,0,0,0,0,1
mccauley,1,0,0,0,0,0,1
necessity,1,0,0,0,0,0,1
charlene,1,0,0,0,0,0,1
forbids,1,0,0,0,0,0,1
lapd,1,0,0,0,0,0,1
bondsman,1,0,0,0,0,0,1
the watergate,1,0,0,0,0,0,1
shiherlis,1,0,0,0,0,0,1
ooty,1,0,0,0,0,0,1
phyllis,1,0,0,0,0,0,1
nehalata,1,0,0,0,0,0,1
gullibility,1,0,0,0,0,0,1
gump,1,0,0,0,0,0,1
sarasa,1,0,0,0,0,0,1
kittu,1,0,0,0,0,0,1
wastrel,1,0,0,0,0,0,1
panciker,1,0,0,0,0,0,1
kittu panicker,1,0,0,0,0,0,1
barrister,1,0,0,0,0,0,1
balan,1,0,0,0,0,0,1
the court of law and,1,0,0,0,0,0,1
kittu panciker,1,0,0,0,0,0,1
panicker,1,0,0,0,0,0,1
prabhakara,1,0,0,0,0,0,1
aptitude,1,0,0,0,0,0,1
reshmi,1,0,0,0,0,0,1
u.s. army captain byers,1,0,0,0,0,0,1
reichskonkordat,1,0,0,0,0,0,1
haywood,1,0,0,0,0,0,1
koishikawa,1,0,0,0,0,0,1
discerns,1,0,0,0,0,0,1
rokusuke,1,0,0,0,0,0,1
noboru,1,0,0,0,0,0,1
yasumoto,1,0,0,0,0,0,1
nagasaki,1,0,0,0,0,0,1
mantis,1,0,0,0,0,0,1
magnitude,1,0,0,0,0,0,1
akahige,1,0,0,0,0,0,1
maycomb,1,0,0,0,0,0,1
molesting,1,0,0,0,0,0,1
antibody,1,0,0,0,0,0,1
prevalent,1,0,0,0,0,0,1
pageant,1,0,0,0,0,0,1
jem,1,0,0,0,0,0,1
atticus,1,0,0,0,0,0,1
otoyo,1,0,0,0,0,0,1
landslide,1,0,0,0,0,0,1
hymen,1,0,0,0,0,0,1
totem,1,0,0,0,0,0,1
dominick,1,0,0,0,0,0,1
geki,1,0,0,0,0,0,1
zushio,1,0,0,0,0,0,1
acknowledgement,1,0,0,0,0,0,1
taro - sansho’s,1,0,0,0,0,0,1
priestess,1,0,0,0,0,0,1
governors,1,0,0,0,0,0,1
sado,1,0,0,0,0,0,1
dreaming,1,0,0,0,0,0,1
namiji,1,0,0,0,0,0,1
sansho,1,0,0,0,0,0,1
trickster,1,0,0,0,0,0,1
sahachi,1,0,0,0,0,0,1
niide,1,0,0,0,0,0,1
kyojō,1,0,0,0,0,0,1
ewell,1,0,0,0,0,0,1
mayella,1,0,0,0,0,0,1
eugenics,1,0,0,0,0,0,1
b. traven,1,0,0,0,0,0,1
dom,1,0,0,0,0,0,1
kidney,1,0,0,0,0,0,1
richman,1,0,0,0,0,0,1
repents,1,0,0,0,0,0,1
mani,1,0,0,0,0,0,1
janning,1,0,0,0,0,0,1
hitler.{{fact,1,0,0,0,0,0,1
u.s. supreme court,1,0,0,0,0,0,1
allies,1,0,0,0,0,0,1
nuremberg,1,0,0,0,0,0,1
the hitler-vatican reichskonkordat,1,0,0,0,0,0,1
ernst,1,0,0,0,0,0,1
wendell,1,0,0,0,0,0,1
wallner,1,0,0,0,0,0,1
mallorie,1,0,0,0,0,0,1
provider,1,0,0,0,0,0,1
ariadne,1,0,0,0,0,0,1
framework,1,0,0,0,0,0,1
viceroy,1,0,0,0,0,0,1
radley,1,0,0,0,0,0,1
stir,1,0,0,0,0,0,1
healer,1,0,0,0,0,0,1
lifespan,1,0,0,0,0,0,1
attains,1,0,0,0,0,0,1
the third guest,1,0,0,0,0,0,1
yusuf,1,0,0,0,0,0,1
factor,1,0,0,0,0,0,1
merchandise,1,0,0,0,0,0,1
traven,1,0,0,0,0,0,1
inception,1,0,0,0,0,0,1
macario,1,0,0,0,0,0,1
cobb,1,0,0,0,0,0,1
dishonor,1,0,0,0,0,0,1
colonial mexico,1,0,0,0,0,0,1
mimieux,1,0,0,0,0,0,1
1st,1,0,0,0,0,0,1
napkin,1,0,0,0,0,0,1
sieland,1,0,0,0,0,0,1
ranger battalion,1,0,0,0,0,0,1
department m,1,0,0,0,0,0,1
smuggling,1,0,0,0,0,0,1
straße,1,0,0,0,0,0,1
archives,1,0,0,0,0,0,1
democratic,1,0,0,0,0,0,1
pro-communist,1,0,0,0,0,0,1
reunification,1,0,0,0,0,0,1
gammell,1,0,0,0,0,0,1
506th parachute infantry regiment,1,0,0,0,0,0,1
christa,1,0,0,0,0,0,1
menschen,1,0,0,0,0,0,1
dreyman,1,0,0,0,0,0,1
the german democratic republic,1,0,0,0,0,0,1
the stasi archives,1,0,0,0,0,0,1
vom,1,0,0,0,0,0,1
dank,1,0,0,0,0,0,1
spiegel,1,0,0,0,0,0,1
wiesler,1,0,0,0,0,0,1
mustangs,1,0,0,0,0,0,1
laali brar,1,0,0,0,0,0,1
mitti,1,0,0,0,0,0,1
infantry division,1,0,0,0,0,0,1
mms,1,0,0,0,0,0,1
reiben,1,0,0,0,0,0,1
dv,1,0,0,0,0,0,1
sarabjit,1,0,0,0,0,0,1
horvath,1,0,0,0,0,0,1
neeru,1,0,0,0,0,0,1
gaazi dhillon,1,0,0,0,0,0,1
jeet,1,0,0,0,0,0,1
gaazi,1,0,0,0,0,0,1
sidhu,1,0,0,0,0,0,1
caparzo,1,0,0,0,0,0,1
harmail,1,0,0,0,0,0,1
hgw,1,0,0,0,0,0,1
gdr,1,0,0,0,0,0,1
hempf,1,0,0,0,0,0,1
jerska,1,0,0,0,0,0,1
thrissur,1,0,0,0,0,0,1
keralaite,1,0,0,0,0,0,1
grantz,1,0,0,0,0,0,1
whisper,1,0,0,0,0,0,1
scruple,1,0,0,0,0,0,1
transition,1,0,0,0,0,0,1
jayakrishan,1,0,0,0,0,0,1
dodd,1,0,0,0,0,0,1
thnagal,1,0,0,0,0,0,1
jankis,1,0,0,0,0,0,1
claras,1,0,0,0,0,0,1
wedlock,1,0,0,0,0,0,1
exposition,1,0,0,0,0,0,1
natalie,1,0,0,0,0,0,1
maul,1,0,0,0,0,0,1
west german,1,0,0,0,0,0,1
heinrich,1,0,0,0,0,0,1
stasi,1,0,0,0,0,0,1
jayakrishnan,1,0,0,0,0,0,1
gerd,1,0,0,0,0,0,1
grubitz,1,0,0,0,0,0,1
heine,1,0,0,0,0,0,1
east german,1,0,0,0,0,0,1
authorship,1,0,0,0,0,0,1
republic,1,0,0,0,0,0,1
hauptmann,1,0,0,0,0,0,1
ottapalam,1,0,0,0,0,0,1
guten,1,0,0,0,0,0,1
east germany,1,0,0,0,0,0,1
bruno,1,0,0,0,0,0,1
sonate,1,0,0,0,0,0,1
rains,1,0,0,0,0,0,1
west germany,1,0,0,0,0,0,1
advancement,1,0,0,0,0,0,1
tunda,1,0,0,0,0,0,1
dhillon,1,0,0,0,0,0,1
kisaan,1,0,0,0,0,0,1
pugazhendhi's government,1,0,0,0,0,0,1
pughazhendi,1,0,0,0,0,0,1
p.a.,1,0,0,0,0,0,1
29th,1,0,0,0,0,0,1
lawsuit,1,0,0,0,0,0,1
101st airborne division,1,0,0,0,0,0,1
bixby,1,0,0,0,0,0,1
airborne,1,0,0,0,0,0,1
pugazh,1,0,0,0,0,0,1
pugazhendhi,1,0,0,0,0,0,1
unwillingness,1,0,0,0,0,0,1
working,1,0,0,0,0,0,1
improvement,1,0,0,0,0,0,1
the normandy american cemetery and memorial,1,0,0,0,0,0,1
sur,1,0,0,0,0,0,1
pughazh,1,0,0,0,0,0,1
mustang,1,0,0,0,0,0,1
mayakrishnan,1,0,0,0,0,0,1
raghuvaran,1,0,0,0,0,0,1
the indian civil service examination,1,0,0,0,0,0,1
gen.,1,0,0,0,0,0,1
minnesota,1,0,0,0,0,0,1
vera lynn's,1,0,0,0,0,0,1
sac,1,0,0,0,0,0,1
ratio,1,0,0,0,0,0,1
guano,1,0,0,0,0,0,1
neuville,1,0,0,0,0,0,1
again,1,0,0,0,0,0,1
strangelove,1,0,0,0,0,0,1
pughazhendhi,1,0,0,0,0,0,1
aranganathan,1,0,0,0,0,0,1
506th,1,0,0,0,0,0,1
ordinance,1,0,0,0,0,0,1
a bomb squad,1,0,0,0,0,0,1
q,1,0,0,0,0,0,1
ramelle,1,0,0,0,0,0,1
cm,1,0,0,0,0,0,1
lalli,1,0,0,0,0,0,1
shyama,1,0,0,0,0,0,1
amudha to sri lanka,1,0,0,0,0,0,1
steamboat,1,0,0,0,0,0,1
manipulation,1,0,0,0,0,0,1
urge,1,0,0,0,0,0,1
sinhalese,1,0,0,0,0,0,1
"thiruchelvan, amudha",1,0,0,0,0,0,1
colleville,1,0,0,0,0,0,1
vinay,1,0,0,0,0,0,1
eelam,1,0,0,0,0,0,1
rameswaram,1,0,0,0,0,0,1
akhil,1,0,0,0,0,0,1
vikramsinghe,1,0,0,0,0,0,1
herold,1,0,0,0,0,0,1
ltte,1,0,0,0,0,0,1
the merderet river,1,0,0,0,0,0,1
the eelam tamil nation,1,0,0,0,0,0,1
mellish,1,0,0,0,0,0,1
thenmozhi,1,0,0,0,0,0,1
omaha beach,1,0,0,0,0,0,1
vierville,1,0,0,0,0,0,1
tenure,1,0,0,0,0,0,1
amudha,1,0,0,0,0,0,1
thiruchelvan,1,0,0,0,0,0,1
sri lankan,1,0,0,0,0,0,1
tigers,1,0,0,0,0,0,1
overwhelms,1,0,0,0,0,0,1
dileepan,1,0,0,0,0,0,1
mankulam,1,0,0,0,0,0,1
tamils,1,0,0,0,0,0,1
sri lankan tamils,1,0,0,0,0,0,1
"amudha, indira",1,0,0,0,0,0,1
narrates,1,0,0,0,0,0,1
lankan,1,0,0,0,0,0,1
marshall,1,0,0,0,0,0,1
mundakkal,1,0,0,0,0,0,1
shelby,1,0,0,0,0,0,1
dieter,1,0,0,0,0,0,1
memon,1,0,0,0,0,0,1
rakesh,1,0,0,0,0,0,1
badshah,1,0,0,0,0,0,1
dubai,1,0,0,0,0,0,1
gul,1,0,0,0,0,0,1
muqadam,1,0,0,0,0,0,1
badshah khan,1,0,0,0,0,0,1
stutter,1,0,0,0,0,0,1
bibbit,1,0,0,0,0,0,1
tattoo,1,0,0,0,0,0,1
investigators,1,0,0,0,0,0,1
the central bureau of investigation,1,0,0,0,0,0,1
mohammed,1,0,0,0,0,0,1
pinball,1,0,0,0,0,0,1
pada,1,0,0,0,0,0,1
nav pada,1,0,0,0,0,0,1
yaqub,1,0,0,0,0,0,1
rdx,1,0,0,0,0,0,1
justification,1,0,0,0,0,0,1
hydrotherapy,1,0,0,0,0,0,1
nav,1,0,0,0,0,0,1
console,1,0,0,0,0,0,1
consultant,1,0,0,0,0,0,1
exosuit,1,0,0,0,0,0,1
apone,1,0,0,0,0,0,1
ect,1,0,0,0,0,0,1
weyland-yutani,1,0,0,0,0,0,1
dietrich,1,0,0,0,0,0,1
evaluation,1,0,0,0,0,0,1
taber,1,0,0,0,0,0,1
booze,1,0,0,0,0,0,1
dropship,1,0,0,0,0,0,1
lv-426,1,0,0,0,0,0,1
terraforming,1,0,0,0,0,0,1
electroshock,1,0,0,0,0,0,1
strung,1,0,0,0,0,0,1
black friday,1,0,0,0,0,0,1
newstrack,1,0,0,0,0,0,1
minority,1,0,0,0,0,0,1
archie,1,0,0,0,0,0,1
basterds,1,0,0,0,0,0,1
bridget,1,0,0,0,0,0,1
hammersmark,1,0,0,0,0,0,1
patter,1,0,0,0,0,0,1
emmanuelle,1,0,0,0,0,0,1
aldo,1,0,0,0,0,0,1
hellstrom,1,0,0,0,0,0,1
certainty,1,0,0,0,0,0,1
shuffle,1,0,0,0,0,0,1
infiltrate,1,0,0,0,0,0,1
sefelt,1,0,0,0,0,0,1
turkle,1,0,0,0,0,0,1
lapadite,1,0,0,0,0,0,1
agitation,1,0,0,0,0,0,1
butz,1,0,0,0,0,0,1
perrier,1,0,0,0,0,0,1
hicox,1,0,0,0,0,0,1
imitation,1,0,0,0,0,0,1
divulge,1,0,0,0,0,0,1
kanu,1,0,0,0,0,0,1
bromden,1,0,0,0,0,0,1
aarthi,1,0,0,0,0,0,1
immunity,1,0,0,0,0,0,1
stolz,1,0,0,0,0,0,1
swastika,1,0,0,0,0,0,1
goebbels,1,0,0,0,0,0,1
zoller,1,0,0,0,0,0,1
projectionist,1,0,0,0,0,0,1
mcmurphy,1,0,0,0,0,0,1
shosanna,1,0,0,0,0,0,1
1st special service force,1,0,0,0,0,0,1
murmur,1,0,0,0,0,0,1
fenech,1,0,0,0,0,0,1
kino,1,0,0,0,0,0,1
stirring,1,0,0,0,0,0,1
processing,1,0,0,0,0,0,1
sulaco,1,0,0,0,0,0,1
tate,1,0,0,0,0,0,1
carnatic,1,0,0,0,0,0,1
autopilot,1,0,0,0,0,0,1
the league of shadows,1,0,0,0,0,0,1
bruce that rachel dawes,1,0,0,0,0,0,1
ra,1,0,0,0,0,0,1
daggett,1,0,0,0,0,0,1
shekeran,1,0,0,0,0,0,1
kunti,1,0,0,0,0,0,1
blackgate,1,0,0,0,0,0,1
blackgate penitentiary,1,0,0,0,0,0,1
largess,1,0,0,0,0,0,1
ghul,1,0,0,0,0,0,1
putrudu,1,0,0,0,0,0,1
remembers,1,0,0,0,0,0,1
janardhanan,1,0,0,0,0,0,1
ayurvedic,1,0,0,0,0,0,1
disarming,1,0,0,0,0,0,1
messaging,1,0,0,0,0,0,1
legislation,1,0,0,0,0,0,1
blake,1,0,0,0,0,0,1
mangalassery,1,0,0,0,0,0,1
batcave,1,0,0,0,0,0,1
miranda,1,0,0,0,0,0,1
takeover,1,0,0,0,0,0,1
bankrupt,1,0,0,0,0,0,1
selina,1,0,0,0,0,0,1
shadows,1,0,0,0,0,0,1
bane,1,0,0,0,0,0,1
harvey dent,1,0,0,0,0,0,1
talia,1,0,0,0,0,0,1
the gotham city police department,1,0,0,0,0,0,1
resignation,1,0,0,0,0,0,1
florence,1,0,0,0,0,0,1
warrier,1,0,0,0,0,0,1
hypnotist,1,0,0,0,0,0,1
shekaran,1,0,0,0,0,0,1
yutani,1,0,0,0,0,0,1
insurrection,1,0,0,0,0,0,1
cheswick,1,0,0,0,0,0,1
goddammit,1,0,0,0,0,0,1
hypersleep,1,0,0,0,0,0,1
privates,1,0,0,0,0,0,1
recidivist,1,0,0,0,0,0,1
plumbing,1,0,0,0,0,0,1
newt,1,0,0,0,0,0,1
sergeant apone,1,0,0,0,0,0,1
mildred,1,0,0,0,0,0,1
colonial marines,1,0,0,0,0,0,1
gorman,1,0,0,0,0,0,1
corporal hicks,1,0,0,0,0,0,1
vasquez,1,0,0,0,0,0,1
ovipositor,1,0,0,0,0,0,1
colonist,1,0,0,0,0,0,1
nurse ratched,1,0,0,0,0,0,1
facehuggers,1,0,0,0,0,0,1
incest,1,0,0,0,0,0,1
hudson,1,0,0,0,0,0,1
banumathi,1,0,0,0,0,0,1
neelakantan,1,0,0,0,0,0,1
nurse mildred ratched,1,0,0,0,0,0,1
mi,1,0,0,0,0,0,1
woo-jin,1,0,0,0,0,0,1
woo-jin's,1,0,0,0,0,0,1
woo,1,0,0,0,0,0,1
do,1,0,0,0,0,0,1
randle,1,0,0,0,0,0,1
imparts,1,0,0,0,0,0,1
sushi,1,0,0,0,0,0,1
soo,1,0,0,0,0,0,1
weyland,1,0,0,0,0,0,1
ratched,1,0,0,0,0,0,1
"burke, gorman",1,0,0,0,0,0,1
camp keowa,0,1,0,0,0,0,1
scoutmaster,0,1,0,0,0,0,1
jerzy,0,0,0,1,0,0,1
reprieve,0,0,1,0,0,0,1
cohen,0,0,1,0,0,0,1
python,0,0,1,0,0,0,1
cds,0,0,1,0,0,0,1
the disinformation company,0,0,1,0,0,0,1
o'shea,0,0,1,0,0,0,1
monty,0,0,1,0,0,0,1
"life""",0,0,1,0,0,0,1
impediment,0,0,1,0,0,0,1
mahamuni,0,0,1,0,0,0,1
mick,0,0,1,0,0,0,1
the people's front of judea,0,0,1,0,0,0,1
r,0,0,1,0,0,0,1
the judean people's front,0,0,1,0,0,0,1
pontius pilate,0,0,1,0,0,0,1
messiah,0,0,1,0,0,0,1
doctrine,0,0,1,0,0,0,1
lineup,0,0,1,0,0,0,1
truism,0,0,1,0,0,0,1
pfj,0,0,1,0,0,0,1
spartacus,0,0,1,0,0,0,1
vishapu,0,0,1,0,0,0,1
chitralekha,0,0,1,0,0,0,1
jaggarayudu,0,0,1,0,0,0,1
sishiyas,0,0,1,0,0,0,1
apsara,0,0,1,0,0,0,1
rajabhat,0,0,1,0,0,0,1
rudraksha,0,0,1,0,0,0,1
mala,0,0,1,0,0,0,1
maharaju,0,0,1,0,0,0,1
disciples,0,0,1,0,0,0,1
misadventure,0,0,1,0,0,0,1
mystic,0,0,1,0,0,0,1
bwian,0,0,1,0,0,0,1
judith,0,0,1,0,0,0,1
the complete illustrated guide,0,0,1,0,0,0,1
illustrated,0,0,1,0,0,0,1
disinformation,0,0,1,0,0,0,1
dvds,0,0,1,0,0,0,1
dwaraka,1,0,0,0,0,0,1
shakuni,1,0,0,0,0,0,1
